title,rating,release_year,popularity
The Shawshank Redemption 1,2,1980,318939
The Godfather 1,9.2,1998,309991
The Dark Knight 1,5.2,1998,120398
Pulp Fiction 1,6.9,2020,862682
The Lord of the Rings: The Return of the King 1,5.9,1982,47561
Forrest Gump 1,6.2,2014,706735
Inception 1,5.3,1980,906121
Fight Club 1,8.3,1986,192100
The Matrix 1,5.1,2007,585373
Goodfellas 1,6,2021,481632
The Empire Strikes Back 1,3.1,1993,386029
Interstellar 1,8.2,2002,588647
City of God 1,3.2,1990,150405
Spirited Away 1,5,1989,931766
Saving Private Ryan 1,6,2019,789166
Parasite 1,6.3,2018,94890
The Green Mile 1,9.8,1982,184166
Se7en 1,1.8,2020,962626
The Silence of the Lambs 1,2.3,1991,911445
Avengers: Endgame 1,3.9,1983,203352
Whiplash 1,5.8,1993,316956
Gladiator 1,5.1,2006,15401
The Prestige 1,6.6,2021,733937
The Departed 1,3.4,2024,219095
Joker 1,4.5,2024,651192
The Lion King 1,9.4,1986,840169
Alien 1,2,2018,843313
WALL·E 1,2.3,1992,852099
Oldboy 1,5.8,1991,109325
Coco 1,2.1,2003,111024
The Shining 1,8.9,2002,78323
Braveheart 1,9.5,1992,623133
Once Upon a Time in Hollywood 1,8.8,1987,149851
Avengers: Infinity War 1,8.3,1993,599913
Up 1,5.8,1987,997800
A Beautiful Mind 1,3.9,1986,341398
The Truman Show 1,7.2,2015,954713
Inside Out 1,8.6,2002,467171
The Pianist 1,4.9,2015,192225
Terminator 2: Judgment Day 1,4,2006,842664
Back to the Future 1,10,2004,77490
Django Unchained 1,4.4,2013,546427
The Wolf of Wall Street 1,7,1995,508689
1917 1,3.1,2006,225123
La La Land 1,1.5,1993,653700
Blade Runner 2049 1,4.6,2007,90852
The Big Short 1,5.8,2020,377741
Logan 1,1.5,2019,440684
Black Panther 1,9.4,2020,226147
Knives Out 1,9.8,2016,772841
The Shawshank Redemption 2,5.4,2010,733147
The Godfather 2,8.6,1982,785193
The Dark Knight 2,4.9,2011,354639
Pulp Fiction 2,9.4,1998,169870
The Lord of the Rings: The Return of the King 2,9.7,2013,950833
Forrest Gump 2,2.1,2023,173519
Inception 2,1.3,1981,68929
Fight Club 2,5.4,2009,59105
The Matrix 2,2.8,1991,223165
Goodfellas 2,7.2,2020,66341
The Empire Strikes Back 2,5.5,1989,854289
Interstellar 2,1.7,2006,891565
City of God 2,8.9,1986,389467
Spirited Away 2,9.3,1987,524457
Saving Private Ryan 2,2.4,1985,330298
Parasite 2,7,2007,230485
The Green Mile 2,8.2,1995,339689
Se7en 2,5.3,1993,905154
The Silence of the Lambs 2,6.6,2006,665232
Avengers: Endgame 2,5.2,2017,855623
Whiplash 2,2,2021,368070
Gladiator 2,5.5,1984,419479
The Prestige 2,1.5,2013,679296
The Departed 2,2.4,1986,590132
Joker 2,5.3,2000,854218
The Lion King 2,7.2,2023,266922
Alien 2,9.2,2005,715512
WALL·E 2,1,2006,964207
Oldboy 2,4.5,2006,280624
Coco 2,1.3,2003,186606
The Shining 2,7.5,2004,401665
Braveheart 2,8.1,2005,677770
Once Upon a Time in Hollywood 2,5.7,2005,875431
Avengers: Infinity War 2,2,2012,680169
Up 2,5.3,2022,624612
A Beautiful Mind 2,6.9,2022,319895
The Truman Show 2,4.3,2003,145599
Inside Out 2,1.1,2003,268033
The Pianist 2,4.5,2001,228214
Terminator 2: Judgment Day 2,4.7,1996,462232
Back to the Future 2,8.1,2018,555802
Django Unchained 2,5.5,1992,249898
The Wolf of Wall Street 2,2.9,1984,125314
1917 2,7.8,1982,940126
La La Land 2,6.1,2004,97681
Blade Runner 2049 2,8.2,2013,783626
The Big Short 2,1.6,1984,580081
Logan 2,4.1,2015,579295
Black Panther 2,4.4,2000,79587
Knives Out 2,4,1993,611976
The Shawshank Redemption 3,6.7,2002,558411
The Godfather 3,1.5,2002,837358
The Dark Knight 3,6.1,2004,994798
